id,relayid,sensorid,update_time,processed_status,start_index,end_index,index_len,width,peakvalue,other_peak,other_var
1,2,9,2017/07/18 14:52:44,0,96,294,2,141,8819,3208,685
2,2,9,2017/07/18 14:52:48,0,96,214,2,87,19375,4859,772
3,2,9,2017/07/18 14:52:51,0,95,402,3,284,8763,2438,616
4,2,9,2017/07/18 14:52:55,0,96,269,2,117,13369,3779,734
5,2,9,2017/07/18 14:52:59,0,95,270,2,130,6920,3718,701
6,2,9,2017/07/18 14:53:03,0,96,323,2,161,14190,3409,703
7,2,9,2017/07/18 14:53:07,0,83,237,2,112,9893,3022,660
8,2,9,2017/07/18 14:53:10,0,96,375,3,217,4451,2204,583
9,2,10,2017/07/18 14:53:43,0,96,272,2,111,20548,8299,961
10,2,10,2017/07/18 14:53:46,0,96,187,2,55,11560,3314,613
11,2,10,2017/07/18 14:53:50,0,96,306,2,136,22625,6994,849
12,2,10,2017/07/18 14:53:54,0,96,291,2,127,20995,7264,930
13,2,10,2017/07/18 14:53:58,0,96,279,2,121,21280,8906,793
14,2,10,2017/07/18 14:54:02,0,75,273,2,158,8722,1432,438
15,2,10,2017/07/18 14:54:06,0,96,250,2,96,21104,7959,993
16,2,10,2017/07/18 14:54:09,0,96,412,2,238,29436,11452,985
17,2,9,2017/07/18 15:07:41,0,96,325,2,161,17003,3005,689
18,2,9,2017/07/18 15:07:45,0,96,354,2,195,12222,2675,630
19,2,9,2017/07/18 15:07:49,0,96,308,2,145,7419,3599,703
20,2,9,2017/07/18 15:07:53,0,95,289,2,136,16171,2983,729
21,2,9,2017/07/18 15:07:56,0,91,325,2,176,22280,5077,885
22,2,9,2017/07/18 15:08:00,0,96,260,2,111,15116,4126,789
23,2,9,2017/07/18 15:08:04,0,96,280,2,128,14980,4126,756
24,2,9,2017/07/18 15:08:08,0,95,349,2,183,17289,3363,727
25,2,7,2017/07/18 16:01:14,0,93,249,2,106,8707,3972,702
26,2,7,2017/07/18 16:01:18,0,96,245,2,99,12021,6248,1090
27,2,7,2017/07/18 16:01:22,0,96,268,2,128,12693,5863,826
28,2,7,2017/07/18 16:01:26,0,95,252,2,114,9496,3922,780
29,2,7,2017/07/18 16:01:30,0,94,263,2,119,7339,4403,796
30,2,7,2017/07/18 16:01:33,0,95,270,2,132,7130,4272,732
31,2,7,2017/07/18 16:01:37,0,95,259,2,138,5364,2765,519
32,2,7,2017/07/18 16:01:41,0,96,379,4,259,13000,4708,880
33,2,7,2017/07/18 16:01:45,0,95,330,2,193,8796,3488,814
34,2,7,2017/07/18 16:01:49,0,96,448,2,293,24417,8964,1046
35,2,7,2017/07/18 16:01:53,0,96,432,2,311,14674,5163,949
36,2,7,2017/07/18 16:01:56,0,96,303,2,138,26142,10142,1151
37,2,7,2017/07/18 16:02:00,0,95,332,2,194,7797,2404,476
38,2,7,2017/07/18 16:02:04,0,95,425,2,304,8172,7308,828
39,2,7,2017/07/18 16:02:08,0,95,432,3,320,2714,4634,415
40,2,7,2017/07/18 16:02:12,0,96,233,2,116,6982,2971,487
41,2,7,2017/07/18 16:02:15,0,95,243,2,104,6214,3965,714
42,2,7,2017/07/18 16:02:19,0,96,262,2,110,10984,9068,934
43,2,7,2017/07/18 16:02:23,0,96,237,2,115,5953,3223,509
44,2,7,2017/07/18 16:02:27,0,94,284,2,129,7914,5358,904
45,2,7,2017/07/18 16:02:31,0,91,240,2,131,2636,1263,231
46,2,7,2017/07/18 16:02:34,0,96,278,2,144,8141,2253,656
47,2,7,2017/07/18 16:02:38,0,94,261,2,109,10505,4961,817
48,2,7,2017/07/18 16:02:42,0,95,279,2,134,9504,3338,689
49,2,7,2017/07/18 16:02:46,0,95,286,2,136,11465,3770,760
50,2,7,2017/07/18 16:02:50,0,95,231,2,100,8766,3913,697
51,2,7,2017/07/18 16:02:57,0,96,302,2,142,8227,7163,879
52,2,7,2017/07/18 16:03:01,0,95,269,2,151,5209,1837,411
53,2,7,2017/07/18 16:03:05,0,95,365,3,250,5078,2633,556
54,2,7,2017/07/18 16:03:09,0,95,238,2,112,6929,3416,580
55,2,7,2017/07/18 16:03:13,0,96,179,2,33,13762,6517,934
56,2,7,2017/07/18 16:03:16,0,96,178,3,65,20097,8514,1112
57,2,7,2017/07/18 16:03:20,0,93,253,2,118,8687,4193,764
58,2,7,2017/07/18 16:03:24,0,96,274,2,114,13517,5214,924
59,2,7,2017/07/18 16:03:28,0,96,313,2,155,9232,6455,751
60,2,7,2017/07/18 16:03:32,0,95,280,2,123,9527,10107,821
61,2,7,2017/07/18 16:03:35,0,88,261,2,157,2693,1847,247
62,2,7,2017/07/18 16:03:39,0,96,324,2,166,8244,3132,694
63,2,7,2017/07/18 16:03:43,0,96,300,2,173,4846,1971,387
64,2,7,2017/07/18 16:03:47,0,95,239,2,102,8750,3854,693
65,2,7,2017/07/18 16:03:51,0,95,292,2,142,11278,3083,761
66,2,7,2017/07/18 16:03:54,0,96,299,2,164,3606,1365,361
67,2,7,2017/07/18 16:03:58,0,95,258,2,141,4373,1504,371
68,2,7,2017/07/18 16:04:02,0,95,329,2,184,8174,2490,658
69,2,7,2017/07/18 16:04:06,0,94,236,2,88,10090,3516,775
70,2,7,2017/07/18 16:04:10,0,96,486,3,366,6196,3736,640
71,2,7,2017/07/18 16:04:14,0,96,328,2,190,11895,4263,889
72,2,7,2017/07/18 16:04:17,0,96,272,2,118,11365,8006,864
73,2,7,2017/07/18 16:04:21,0,96,453,3,334,4787,1727,547
74,2,7,2017/07/18 16:04:25,0,96,387,3,241,6412,3012,669
75,2,7,2017/07/18 16:04:29,0,95,384,4,275,5984,3328,643
76,2,7,2017/07/18 16:04:33,0,95,526,3,415,5179,2705,505
77,2,7,2017/07/18 16:04:36,0,96,302,2,145,13556,7033,976
78,2,7,2017/07/18 16:04:40,0,96,267,2,134,8831,2562,615
79,2,7,2017/07/18 16:04:48,0,96,262,2,127,5273,5532,758
80,2,7,2017/07/18 16:04:52,0,95,260,2,110,15427,7369,1013
81,2,7,2017/07/18 16:04:55,0,96,258,2,107,15964,8263,1093
82,2,7,2017/07/18 16:05:03,0,95,277,2,111,8539,5274,827
83,2,7,2017/07/18 16:05:07,0,95,316,2,193,2744,1616,206
84,2,7,2017/07/18 16:05:11,0,96,348,2,150,9044,5773,776
